Year,Total_Annual_Discharge (mÂ³)
1990,4490919855.648
1991,2765308052.736
1992,3692358401.7599998
1993,3701687332.032
1994,3437198021.664
1995,4097414107.296
1996,2903296521.6
1997,4248818160.768
1998,3492052318.9440002
1999,3773669994.7200003
2000,4535771592.096
2001,3311962425.216
2002,4011668169.984
2003,3176887045.536
2004,3282852991.68
2005,4558976796.96
2006,3067375272.768
2007,4435999978.176
2008,3908989560.672
2009,3717165657.024
2010,3047080268.5632
2011,4402534333.536
2012,3823214714.784
2013,3703335303.9456
2014,4011664629.312
2015,3403162448.064
2016,3521709897.408
2017,3767440794.048
2018,4162890671.136
2019,3485611418.4
2020,4277664775.872
